400 400
350 0 5157274308014253125
350 1 -2028387441156828349
350 2 2956794325508407763
350 3 6100144838568483094
350 4 2038061750574719503
350 5 -4158381800502074088
350 6 728269661059258360
350 7 -1909387294963817889
350 8 5324860943326086404
350 9 -1830237111681276967
350 10 2072097027561567122
350 11 5596281645041232364
350 12 -5287628825450004243
350 13 -623551940209171432
350 14 7222057372640119953
350 15 3602065738219413530
350 16 -7562037535993056796
350 17 1497282072472658839
350 18 3633255873087180338
350 19 568082794899468611
350 20 7512904409653652439
350 21 8009838453438228077
350 22 -2730567501466035488
350 23 2206532760628830340
350 24 41325987959390550
350 25 -1831774682639093519
350 26 -4187720701747607245
350 27 -5716642346732653309
350 28 7782599892266075268
350 29 780978508065761725
350 30 7143658468769413288
350 31 -7178474922825415543
350 32 -2373454505280027488
350 33 -3534254763233998075
350 34 6057108783708025427
350 35 -2202190550270519636
350 36 6564433575396653198
350 37 -7645911840575638294
350 38 -7078063832577646456
350 39 -1587802816745232483
350 40 -2531396063046731041
350 41 -3672230975824115895
350 42 5132948650063509074
350 43 -2152918969593474083
350 44 7495327593786481438
350 45 -3683403565230754028
350 46 -4064554360091569270
350 47 7285315166938399117
350 48 4322778301484466948
350 49 -4115623329667928807
350 50 5485366392435553374
350 51 4767215462224805886
350 52 6813103188335894100
350 53 -6096773379490359519
350 54 -2269647075600167551
350 55 -7351914561538978447
350 56 -398291932718302115
350 57 -8387489468968083164
350 58 813052358675875121
350 59 -61472404317249899
350 60 -7385443787201922748
350 61 -2847931853457629
350 62 1346545789229853623
350 63 1683692051350995423
350 64 1303074061864528612
350 65 5092822906886183508
350 66 4468236611292124210
350 67 -3770424819509329121
350 68 6229945238240808982
350 69 -509194854778477111
350 70 -7446919824094571277
350 71 -7363211234224604742
350 72 7309180194805796181
350 73 -8172040359037021703
350 74 -7294096111499400838
350 75 4057492399989599301
350 76 2358274866769435242
350 77 5519691237552274439
350 78 817853447149405904
350 79 8980216083570305579
350 80 7613119113425813511
350 81 683160549547385848
350 82 -3012709851769930399
350 83 -4491878665153138870
350 84 -8621824210308071607
350 85 -8887851385440239578
350 86 -9061256018042083152
350 87 3809173115562663758
350 88 8839622537686315982
350 89 2622715163615986232
350 90 2025969570814491247
350 91 5102976083128277760
350 92 873426463919988294
350 93 -5651769330228283753
350 94 1019500948496071634
350 95 9119811404611166669
350 96 -1254299968794072557
350 97 8821350884012394493
350 98 3696565026699589502
350 99 181978101945483029
350 100 2667644948165522740
350 101 -4664913093130545191
350 102 -202137334262929960
350 103 -6514439628244030671
350 104 -5049127160635518547
350 105 2830958901518739383
350 106 -1289654859923687408
350 107 3661775505628408122
350 108 -5378629908150846745
350 109 -1294554144884393103
350 110 2515693691511870895
350 111 634901402261622144
350 112 5116118541638559083
350 113 -6660131504656950747
350 114 -6414601170742485187
350 115 1459657288490990256
350 116 -4903313563213624195
350 117 -629148022162833418
350 118 4116043768032274089
350 119 1031413907852717838
350 120 2098199029568303217
350 121 6019830263142979367
350 122 -206131641426325120
350 123 3704366826674511469
350 124 2626422257070057776
350 125 5070190285898804707
350 126 467632152719973224
350 127 -4059041617408999484
350 128 -5757666831516058955
350 129 2525358740027695358
350 130 4257647292771631155
350 131 -8756806025132089670
350 132 2671558743317169121
350 133 -7881306586541360349
350 134 865302383318383357
350 135 7407108840115596912
350 136 5721036452078849915
350 137 4591109458644314565
350 138 3030301090528222698
350 139 2236033657205330412
350 140 7075778701107567384
350 141 -5620502181433965852
350 142 -754641901500325861
350 143 -8090564908009893575
350 144 401612519910421717
350 145 -2306231223663326305
350 146 7919900178427233799
350 147 5093531328877079339
350 148 6701886176469676113
350 149 -5495881256746724115
350 150 3242000481171590167
350 151 4018692394846759442
350 152 -8894253741864797626
350 153 -529093851836760159
350 154 8418610260741689702
350 155 5010014906241757775
350 156 -4449096378492962798
350 157 5634317113615419603
350 158 -8078183877756088174
350 159 1852197465114943233
350 160 -5942637757382065212
350 161 7336317261934951711
350 162 -4556970225756734771
350 163 -7811769755053736814
350 164 -2108844994774210504
350 165 1859829180530173892
350 166 -5343338277067878159
350 167 6761387673581667405
350 168 -6479619128143259236
350 169 6595898594247837156
350 170 -4827662932690696775
350 171 1973355295343780615
350 172 1567708443185189983
350 173 3075072682700224040
350 174 6253899090979098143
350 175 2513269895693883536
350 176 7053898784950482850
350 177 820248597614762812
350 178 8692857203555626721
350 179 -3800455518816345984
350 180 -8168398093145075175
350 181 -2684112351393174040
350 182 -1571284424072388415
350 183 7340086272023167250
350 184 3448181031793646924
350 185 -8263590489187185854
350 186 -3046748906009768621
350 187 -7873745090232175139
350 188 -7074918764136585496
