8 9
0 0 2863854273208375692
0 1 6875936094877214213
0 2 4519098696903601488
0 3 285505970464568772
0 4 525205779039432050
0 5 -1556682463840955128
0 6 -987722198793882609
0 7 4747699836333111908
0 8 -4097650071458286726
1 0 -5300987753880986589
1 1 136511920197087273
1 2 1966365324316994986
1 3 5109892012361417387
1 4 1745842767246129824
1 5 9060493826124752634
1 6 -5761553283491279681
1 7 7146102182534106196
1 8 -3498738233642086138
2 0 -2133598592828513258
2 1 3067596720950376777
2 2 -6738765903832138774
2 3 -1706619588077787691
2 4 1468619243406828979
2 5 8580484964104983505
2 6 1049360292817007738
2 7 6990849390954216752
2 8 961121146647570534
3 0 6664222906222507231
3 1 841596038874576663
3 2 -1925567992397578991
3 3 -6482646954803461344
3 4 -529458033222272595
3 5 7066860057522473128
3 6 3820888237076354288
3 7 -4482165849406010806
3 8 2764728606976163141
4 0 -4008011047810697934
4 1 -3157412468804266898
4 2 6425826144256347606
4 3 -7216503470055429948
4 4 -2786759243640168100
4 5 3606346115936091502
4 6 -6444598001385859921
4 7 -4821982875483825059
4 8 -1336924523760702104
5 0 -1062128866044735174
5 1 -2870737127957266549
5 2 -494207122286423953
5 3 4578974359229491879
5 4 -318275352986556912
5 5 -4180190763352742024
5 6 -1168415643683239490
5 7 4919176770589876850
5 8 -291443670899661147
6 0 307957524845651228
6 1 -5088069125309903475
6 2 -808214019563066057
6 3 -3687156288474159114
6 4 -1337620290519253413
6 5 2377210289114579008
6 6 8403909500054782647
6 7 1309516433961850241
6 8 336110441180681352
7 0 -4782025513405858433
7 1 -5186395033916309953
7 2 -5139315051560204920
7 3 -2005248280212887876
7 4 2201459523145089049
7 5 8778825718501353671
7 6 1976219196561250248
7 7 7729381111265075488
7 8 253853479512467372
Tempo de execução: 0.000173067 segundos
