Tamanho,Programa,Tempo_Medio,Desvio_Padrao
100,sequencial,.0035,0
100,threads,.0060,0
100,processos,.0036,0
200,sequencial,.0041,0
200,threads,.0056,0
200,processos,.0039,0
400,sequencial,.0033,0
400,threads,.0061,0
400,processos,.0029,0
800,sequencial,.0024,0
800,threads,.0073,0
800,processos,.0050,0
1600,sequencial,.0025,0
1600,threads,.0055,0
1600,processos,.0028,0
3200,sequencial,.0028,0
3200,threads,.0095,0
3200,processos,.0033,0
6400,sequencial,.0028,0
6400,threads,.0088,0
6400,processos,.0048,0
12800,sequencial,.0025,0
12800,threads,.0098,0
12800,processos,.0047,0
