200 200
100 0 4078703143483635385
100 1 6869450403262724571
100 2 314554419647578120
100 3 1585616973500260336
100 4 -1376653325000042598
100 5 -6917038796682598622
100 6 8704357053448694522
100 7 1961167853993414406
100 8 992056264201531642
100 9 -455287124143573299
100 10 1467345430797153120
100 11 9167229710603168098
100 12 -4312107901083494200
100 13 8873720080942354532
100 14 -7228694804872004585
100 15 -225429307131109783
100 16 -5716074658032534513
100 17 -5752034226558877347
100 18 5969608498816303604
100 19 1347018057272398582
100 20 4627933356435058911
100 21 -6432022537607575191
100 22 5868529068192465771
100 23 4759791502657876692
100 24 533761108899773672
100 25 545979852029415707
100 26 -4563206820501179963
100 27 -4398000793025446896
100 28 617483840234379135
100 29 -4353409503648353367
100 30 3199878746368881681
100 31 6964612600295598338
100 32 -2830571626967775674
100 33 5925475795357215275
100 34 3443126912343628744
100 35 -9080536560032770338
100 36 7538115639717503896
100 37 14425574353180582
100 38 5176845145176004722
100 39 -3868323404880991941
100 40 160368959404766911
100 41 -8164916884444951579
100 42 -166436291396487998
100 43 5269399421220750271
100 44 -3907178576053245939
100 45 -204508824232927281
100 46 -3501635318807849653
100 47 1782034504147621217
100 48 2069646164182454223
100 49 -2297321770240222909
100 50 61955913261740553
100 51 -1588732715331783187
100 52 -1657712747955582011
100 53 -5519089607879699584
100 54 5599370606261778022
100 55 -6512116625017647557
100 56 2009309620539449706
100 57 5321264824975639616
100 58 2882300256934938442
100 59 -8595024984300969506
100 60 259487135403000289
100 61 5571297324670613363
100 62 5528026834795637676
100 63 621490106796030823
100 64 6557132892223978958
100 65 790319425582988986
100 66 -8999287073202236099
100 67 -6464908928877060333
100 68 -5816851316049278980
100 69 8483681310471542886
100 70 3831027462120627425
100 71 54848701587977654
100 72 1678098293891146443
100 73 -8448344608363264694
100 74 249597742484242212
100 75 -7815110006877192222
100 76 3328536174163744273
100 77 -2867130716753607964
100 78 7326118552335704785
100 79 -7150474548781565189
100 80 6052837016820726376
100 81 -6973663862740892352
100 82 -6030899443433821245
100 83 -8225933852861208463
100 84 -8478816101079541569
100 85 -4228132239864824462
100 86 2425521621019305902
100 87 2074455511611886257
100 88 -9087988268560844881
100 89 2028465618620135424
100 90 -7241822264818139878
100 91 7721242991759263951
100 92 -596511671197450567
100 93 9201442280491348793
100 94 7248918094756310991
100 95 196149497889382330
100 96 6033104403920540632
100 97 5498635626098014942
100 98 2041517205848307891
100 99 -6095477686922077625
100 100 -7478623143138411322
100 101 4121030840924885518
100 102 6927299352889668583
100 103 8279270402056702969
100 104 -7093312781054099825
100 105 3515223727457424173
100 106 -7522242992476002633
100 107 -6833680641930501455
100 108 5764205494099855127
100 109 -6932660620415838419
100 110 -4978208161336200002
100 111 3816798273730109378
100 112 4796200954428834887
100 113 -432036185267209297
100 114 -6442586418085186209
100 115 7534100059959779289
100 116 -8645496172427496530
100 117 7288877586967786276
100 118 -422501842610663173
100 119 3382714698991351635
100 120 218583610519338627
100 121 4163618603436741795
100 122 -1650510697604474018
100 123 4906449117828540380
100 124 -7188316064744378368
100 125 -677452604500057685
100 126 114583886971071772
100 127 -3885234014106275162
100 128 8769066511198461162
100 129 -5409538863778251046
100 130 -2962057895234797798
100 131 -8499586408498094879
100 132 -1881626814391075805
100 133 -8483643467024078165
100 134 -7586047910832121983
100 135 -6426727979967007288
100 136 -3363302191254271912
100 137 -6738848602749680141
100 138 -9097113962423278599
100 139 -2992531292524160344
100 140 2648481163242888271
100 141 -291762151562803788
100 142 -5044043024041674232
100 143 -6234379491436500780
100 144 8385500221038753654
100 145 -8889439009784997519
100 146 -735047491243094416
100 147 -2448855026760473010
100 148 -7364028310563485024
100 149 -574037434204995823
100 150 -8798437132997860057
100 151 -2725191715698485791
100 152 -2449753617536911262
100 153 -8393429558591354153
100 154 7590227546522561856
100 155 5443972181835338157
100 156 8403415195360158489
100 157 3593916779152056422
100 158 3118868120141638886
100 159 -4488343347362508582
100 160 4736551706305965323
100 161 -5498698472767040654
100 162 7571113747974512644
100 163 7612448048615807507
100 164 -6997320431237147614
100 165 6577453431657994143
100 166 -6781787237743584793
100 167 -4514850693793257139
100 168 -3018934329130477325
100 169 -7065450502336474518
100 170 7749078353991442800
100 171 -7366826051078978510
100 172 -179665771055502428
100 173 1254873701014656101
100 174 -7426367409444430404
100 175 5285924687233887584
100 176 -2667685373162403569
100 177 -8929372934231789420
100 178 2518428890539429002
100 179 6628284498937911224
100 180 -1820372318232244103
100 181 4009390718604165002
100 182 3618212857457560339
100 183 -237216597057540806
100 184 -6760399452060292238
100 185 7232731282861469201
100 186 2629004531000163951
100 187 -1594205435294804173
100 188 -5393343279033442500
100 189 4036458982729208544
100 190 1550366292421800650
100 191 6582596145806340355
100 192 -1342731790870888781
100 193 -3608808270118279317
100 194 599383088718887243
100 195 -7081409345280323153
100 196 -7168163705113911719
100 197 -6849371219395215680
100 198 248307830846462300
100 199 -2785930256009054470
101 0 -817811282948619651
101 1 8275795749151607164
101 2 9075142518876832149
101 3 7562873631741489595
101 4 7367844075929822370
101 5 523025979990838226
101 6 1906119626091883735
101 7 -4041511629273069136
101 8 -1187937288406562292
101 9 -6206197553355943373
101 10 -3289983917902553634
101 11 5539851135823490147
101 12 3131991104814569800
101 13 3394344015382390641
101 14 8002832316532223239
101 15 -61717162643861777
101 16 -311833144483979875
101 17 -6581259397706580307
101 18 -8114960248115679681
101 19 2231590492696337703
101 20 -7685071853773172949
101 21 5918314979452047912
101 22 2084072064672823758
101 23 4680544670940503659
101 24 2610866565508283107
101 25 6414337698454076587
101 26 -259014529301007890
101 27 8087212293162109300
101 28 6524877466635460473
101 29 -7654048338011110849
101 30 -6408378777455313973
101 31 -661966196100477523
101 32 -7962760284863575163
101 33 3004293305889972590
101 34 -6470176639236125205
101 35 -3120524364014688948
101 36 -4822128669379057321
101 37 -8487372583835638038
101 38 -3637469597823447770
101 39 4957754832774573261
101 40 -3496176198530465831
101 41 -1374775120123765969
101 42 8487893657301874415
101 43 2060368405362990845
101 44 3496857779196656839
101 45 -8447647770673597650
101 46 -3916842608148195066
101 47 8342776425193933204
101 48 -8398507189773971681
101 49 -8085891544816724296
101 50 8704563318711057090
101 51 -8626587375146600386
101 52 -313013694447254957
101 53 8415036817116630646
101 54 -1437566491516215833
101 55 -2328172166349330369
101 56 -8472742219490280102
101 57 238682801657339079
101 58 8665602277464462877
101 59 -6394621736950061669
101 60 2200687299297372122
101 61 -7710980560166177635
101 62 8211516318697622475
101 63 -2819581087236069526
101 64 8549110682474165232
101 65 2509094726509602501
101 66 2037003627838417025
101 67 -52734722078638065
101 68 6764027009429394515
101 69 7288787065597552495
101 70 2972325713085718324
101 71 8757687471632155302
101 72 8060768335579775134
101 73 8484381232905107931
101 74 -1703425828571047549
101 75 -3010252715390642027
101 76 2057441150686623683
101 77 -2322218418387859699
101 78 -5685161213427576746
101 79 -3330425585397804086
101 80 6616203784837928198
101 81 7867537045465414392
101 82 -6575113937583915107
101 83 1416547010352195657
101 84 -2287843221145271763
101 85 4849792072771456612
101 86 1425837427582687316
101 87 722875094327892088
101 88 -2657373996898521723
101 89 -7851521841859851025
101 90 1305763296499228925
101 91 4513347165108321422
101 92 583565307138447016
101 93 -5378471819056152065
101 94 -8186377046854028396
101 95 1585053998482901159
101 96 -321962532153636499
101 97 7921528897588017048
101 98 -6168911057366373852
101 99 -11654106071610723
101 100 3964200956679571268
101 101 1239292144432905584
101 102 6084083214303255545
101 103 -8830438016017776705
101 104 -6830110669480504510
101 105 4379635094937115246
101 106 -6841293600950642328
101 107 8145059917716523223
101 108 -4492160237257118305
101 109 -8134038728844716878
101 110 6490572943704014527
101 111 -6216967024812157830
101 112 -8610549298506480693
101 113 8317113162302057871
101 114 -6559588524892213098
101 115 2725156395633979044
101 116 -3930851033954710273
101 117 -7371518697891215018
101 118 1503411269084423268
101 119 3650915226884799232
101 120 -8560999981536011241
101 121 3768626701105708763
101 122 5775380577723671399
101 123 334321991837593180
101 124 8812304169913746908
101 125 -8909634142705855357
101 126 -6104398014125595079
101 127 -5008180368016757816
101 128 3926213658277694266
101 129 1604865482297428957
101 130 6994039899081473831
101 131 -1533165976758982140
101 132 1015750605402235714
101 133 -3051067263748455452
101 134 -9046620537286032301
101 135 -1081554367379096256
101 136 5403576970601685882
101 137 -3848266539288812867
101 138 -5703507396709396015
101 139 -3204689445335064114
101 140 -4591157533730587528
101 141 1903628482240601930
101 142 2864150351178079196
101 143 -2734016878078341673
101 144 6235029671259286901
101 145 5257179980253288615
101 146 -4225229864867816703
101 147 -3596373206907927850
101 148 -4163974055695445771
101 149 3863767675804078211
101 150 3051829270326159542
101 151 3379998582948558294
101 152 -4660915956650169926
101 153 9147921012533147409
101 154 6034731750844001412
101 155 -7512432228789778827
101 156 8609282588362239534
101 157 -3812040405492530033
101 158 -4921425493661530512
101 159 -8004018990645158439
101 160 4037392834442910441
101 161 -582265686755474817
101 162 7402545876895338807
101 163 -2572139780880185681
101 164 -3363819740003807669
101 165 -6666013887726047364
101 166 -1961550914883878302
101 167 6600404864667361428
101 168 8031449289582084331
101 169 8617890348209608086
101 170 2805419429140214640
101 171 4974467078697188855
101 172 5755017772431425068
101 173 -2217417529800238182
101 174 -6717442793816243602
101 175 -1897935571049238698
101 176 -3393053143457217875
101 177 -4808281153385771161
101 178 -99800498683918725
101 179 1302791204853063700
101 180 4073965803934538537
101 181 3846804708473873100
101 182 6799793349370022554
101 183 7495210660198562398
101 184 3603855085872309156
101 185 471207387994935333
101 186 -6990569712581446494
101 187 66007939201372181
101 188 -3894702693256676950
101 189 -5455408019995945465
101 190 6200565633399041550
101 191 7213433173451341960
101 192 2561717819649452306
101 193 -6512345916772658558
101 194 -6305594290702415652
101 195 1959998179368872807
101 196 -4984360863790482504
101 197 946803781574753415
101 198 6756424785722520086
101 199 5601208325812211037
102 0 6487512532982205205
102 1 2403925937407034810
102 2 -1155498892647675094
102 3 -9146400886324936229
102 4 -5190813380036878642
102 5 -845657920513769718
102 6 5055588438797692675
102 7 -4219352688624099424
102 8 -6910788498151612544
102 9 -8813455085848858990
102 10 7638572253231479013
102 11 -10141042470961718
102 12 -1039969551501135722
102 13 -5451992675272932335
102 14 -3549301573001357222
102 15 -778849440698221509
102 16 1815487382828425684
102 17 -3469663871847452513
102 18 -2749534327810588958
102 19 -5751141841596005369
102 20 6610685880811770842
102 21 1038190739017573461
102 22 7772413155503872133
102 23 -3765609455883802646
102 24 3629990044994703808
102 25 -6154912530377208465
102 26 -7548771615401331068
102 27 7741037283827839103
102 28 -2270098284471440274
102 29 7728878853829623829
102 30 711138806332104098
102 31 -4618188038930481122
102 32 -7832599906497100591
102 33 3453066822415845130
102 34 -8516006336372014717
102 35 -130870096330754189
102 36 -7310361764084014740
102 37 7100810235945220848
102 38 7281319796513013371
102 39 1047001912733116730
102 40 7388839289915038089
102 41 -8777282109669072969
102 42 989017663716140481
102 43 -9160351600361983771
102 44 -3490187424499840236
102 45 -2620770481426914604
102 46 9204790386633272888
102 47 -8197716075491520893
102 48 396106968806707644
102 49 -861917504740293566
102 50 2775886993922174912
102 51 4411393863087392695
102 52 -5664792616526068678
102 53 -8126213584073867387
102 54 3935958100269435599
102 55 -8053344828097892374
102 56 -357376771014681400
102 57 3131002949548886803
102 58 710092292689124898
102 59 -5978719983955994597
102 60 6798381540776660993
